run_id,grain,precision,recall,attempted
"tmp2000",coarse,0.683,0.555,81.31
"tmp2000",mixed,0.665,0.541,81.31
"tmp2000",fine,0.635,0.517,81.31
"tmp2001",coarse,0.689,0.573,83.09
"tmp2001",mixed,0.670,0.557,83.09
"tmp2001",fine,0.640,0.532,83.09
"tmp2002",coarse,0.684,0.589,86.16
"tmp2002",mixed,0.667,0.574,86.16
"tmp2002",fine,0.638,0.550,86.16
"tmp2003",coarse,0.691,0.601,87.04
"tmp2003",mixed,0.673,0.586,87.04
"tmp2003",fine,0.645,0.562,87.04
"tmp2004",coarse,0.646,0.534,82.71
"tmp2004",mixed,0.625,0.517,82.71
"tmp2004",fine,0.591,0.489,82.71
"tmp2005",coarse,0.655,0.552,84.28
"tmp2005",mixed,0.634,0.534,84.28
"tmp2005",fine,0.600,0.506,84.28
"tmp2006",coarse,0.660,0.574,87.04
"tmp2006",mixed,0.638,0.555,87.04
"tmp2006",fine,0.604,0.526,87.04
"tmp2007",coarse,0.664,0.584,87.93
"tmp2007",mixed,0.644,0.566,87.93
"tmp2007",fine,0.612,0.538,87.93
"tmp2008",coarse,0.623,0.524,84.15
"tmp2008",mixed,0.601,0.505,84.15
"tmp2008",fine,0.563,0.473,84.15
"tmp2009",coarse,0.636,0.543,85.37
"tmp2009",mixed,0.613,0.523,85.37
"tmp2009",fine,0.576,0.492,85.37
"tmp2010",coarse,0.636,0.565,88.79
"tmp2010",mixed,0.614,0.545,88.79
"tmp2010",fine,0.575,0.511,88.79
"tmp2011",coarse,0.645,0.576,89.27
"tmp2011",mixed,0.622,0.555,89.27
"tmp2011",fine,0.585,0.523,89.27
"tmp2012",coarse,0.678,0.565,83.39
"tmp2012",mixed,0.660,0.550,83.39
"tmp2012",fine,0.630,0.526,83.39
"tmp2013",coarse,0.680,0.577,84.84
"tmp2013",mixed,0.662,0.561,84.84
"tmp2013",fine,0.632,0.536,84.84
"tmp2014",coarse,0.680,0.600,88.26
"tmp2014",mixed,0.661,0.584,88.26
"tmp2014",fine,0.634,0.559,88.26
"tmp2015",coarse,0.682,0.609,89.17
"tmp2015",mixed,0.665,0.593,89.17
"tmp2015",fine,0.636,0.567,89.17
"tmp2016",coarse,0.645,0.554,85.90
"tmp2016",mixed,0.624,0.536,85.90
"tmp2016",fine,0.591,0.507,85.90
"tmp2017",coarse,0.651,0.563,86.51
"tmp2017",mixed,0.630,0.545,86.51
"tmp2017",fine,0.598,0.517,86.51
"tmp2018",coarse,0.659,0.589,89.45
"tmp2018",mixed,0.638,0.571,89.45
"tmp2018",fine,0.607,0.543,89.45
"tmp2019",coarse,0.661,0.596,90.19
"tmp2019",mixed,0.641,0.578,90.19
"tmp2019",fine,0.610,0.550,90.19
"tmp2020",coarse,0.618,0.538,87.04
"tmp2020",mixed,0.596,0.519,87.04
"tmp2020",fine,0.562,0.489,87.04
"tmp2021",coarse,0.626,0.553,88.39
"tmp2021",mixed,0.603,0.533,88.39
"tmp2021",fine,0.566,0.500,88.39
"tmp2022",coarse,0.634,0.574,90.54
"tmp2022",mixed,0.612,0.554,90.54
"tmp2022",fine,0.577,0.523,90.54
"tmp2023",coarse,0.640,0.584,91.28
"tmp2023",mixed,0.616,0.563,91.28
"tmp2023",fine,0.579,0.529,91.28
"tmp2024",coarse,0.679,0.569,83.85
"tmp2024",mixed,0.661,0.554,83.85
"tmp2024",fine,0.633,0.531,83.85
"tmp2025",coarse,0.678,0.582,85.80
"tmp2025",mixed,0.659,0.566,85.80
"tmp2025",fine,0.631,0.541,85.80
"tmp2026",coarse,0.679,0.604,88.97
"tmp2026",mixed,0.659,0.587,88.97
"tmp2026",fine,0.631,0.562,88.97
"tmp2027",coarse,0.682,0.611,89.63
"tmp2027",mixed,0.664,0.595,89.63
"tmp2027",fine,0.635,0.569,89.63
"tmp2028",coarse,0.642,0.557,86.76
"tmp2028",mixed,0.622,0.540,86.76
"tmp2028",fine,0.589,0.511,86.76
"tmp2029",coarse,0.649,0.568,87.63
"tmp2029",mixed,0.628,0.550,87.63
"tmp2029",fine,0.595,0.521,87.63
"tmp2030",coarse,0.656,0.591,90.14
"tmp2030",mixed,0.636,0.573,90.14
"tmp2030",fine,0.604,0.544,90.14
"tmp2031",coarse,0.663,0.602,90.85
"tmp2031",mixed,0.642,0.583,90.85
"tmp2031",fine,0.610,0.554,90.85
"tmp2032",coarse,0.616,0.543,88.08
"tmp2032",mixed,0.594,0.523,88.08
"tmp2032",fine,0.558,0.491,88.08
"tmp2033",coarse,0.625,0.553,88.51
"tmp2033",mixed,0.601,0.532,88.51
"tmp2033",fine,0.564,0.499,88.51
"tmp2034",coarse,0.636,0.577,90.80
"tmp2034",mixed,0.612,0.556,90.80
"tmp2034",fine,0.576,0.523,90.80
"tmp2035",coarse,0.643,0.588,91.46
"tmp2035",mixed,0.620,0.567,91.46
"tmp2035",fine,0.584,0.534,91.46
"tmp2036",coarse,0.678,0.569,83.90
"tmp2036",mixed,0.661,0.554,83.90
"tmp2036",fine,0.632,0.530,83.90
"tmp2037",coarse,0.675,0.581,86.00
"tmp2037",mixed,0.657,0.565,86.00
"tmp2037",fine,0.628,0.540,86.00
"tmp2038",coarse,0.680,0.604,88.89
"tmp2038",mixed,0.661,0.588,88.89
"tmp2038",fine,0.633,0.563,88.89
"tmp2039",coarse,0.678,0.611,90.06
"tmp2039",mixed,0.660,0.594,90.06
"tmp2039",fine,0.631,0.568,90.06
"tmp2040",coarse,0.641,0.559,87.22
"tmp2040",mixed,0.621,0.542,87.22
"tmp2040",fine,0.588,0.513,87.22
"tmp2041",coarse,0.651,0.572,87.83
"tmp2041",mixed,0.630,0.553,87.83
"tmp2041",fine,0.596,0.524,87.83
"tmp2042",coarse,0.655,0.594,90.62
"tmp2042",mixed,0.636,0.576,90.62
"tmp2042",fine,0.602,0.546,90.62
"tmp2043",coarse,0.661,0.602,91.10
"tmp2043",mixed,0.640,0.583,91.10
"tmp2043",fine,0.609,0.555,91.10
"tmp2044",coarse,0.618,0.544,88.11
"tmp2044",mixed,0.595,0.524,88.11
"tmp2044",fine,0.558,0.492,88.11
"tmp2045",coarse,0.625,0.554,88.62
"tmp2045",mixed,0.602,0.534,88.62
"tmp2045",fine,0.565,0.501,88.62
"tmp2046",coarse,0.635,0.578,91.00
"tmp2046",mixed,0.611,0.556,91.00
"tmp2046",fine,0.575,0.524,91.00
"tmp2047",coarse,0.644,0.586,91.10
"tmp2047",mixed,0.619,0.564,91.10
"tmp2047",fine,0.584,0.532,91.10
"tmp2048",coarse,0.582,0.578,99.19
"tmp2048",mixed,0.566,0.561,99.19
"tmp2048",fine,0.517,0.512,99.19
"tmp2049",coarse,0.583,0.578,99.19
"tmp2049",mixed,0.566,0.562,99.19
"tmp2049",fine,0.517,0.513,99.19
"tmp2050",coarse,0.584,0.579,99.11
"tmp2050",mixed,0.567,0.562,99.11
"tmp2050",fine,0.519,0.514,99.11
"tmp2051",coarse,0.585,0.579,99.11
"tmp2051",mixed,0.568,0.563,99.11
"tmp2051",fine,0.519,0.514,99.11
"tmp2052",coarse,-nan,0.000,0.00
"tmp2052",mixed,-nan,0.000,0.00
"tmp2052",fine,-nan,0.000,0.00
"tmp2053",coarse,-nan,0.000,0.00
"tmp2053",mixed,-nan,0.000,0.00
"tmp2053",fine,-nan,0.000,0.00
"tmp2054",coarse,-nan,0.000,0.00
"tmp2054",mixed,-nan,0.000,0.00
"tmp2054",fine,-nan,0.000,0.00
"tmp2055",coarse,-nan,0.000,0.00
"tmp2055",mixed,-nan,0.000,0.00
"tmp2055",fine,-nan,0.000,0.00
"tmp2056",coarse,-nan,0.000,0.00
"tmp2056",mixed,-nan,0.000,0.00
"tmp2056",fine,-nan,0.000,0.00
"tmp2057",coarse,-nan,0.000,0.00
"tmp2057",mixed,-nan,0.000,0.00
"tmp2057",fine,-nan,0.000,0.00
"tmp2058",coarse,-nan,0.000,0.00
"tmp2058",mixed,-nan,0.000,0.00
"tmp2058",fine,-nan,0.000,0.00
"tmp2059",coarse,-nan,0.000,0.00
"tmp2059",mixed,-nan,0.000,0.00
"tmp2059",fine,-nan,0.000,0.00
